岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
AIGC应用研发工程师,北京-海淀区,15-25k,3-5年,统招本科,Python,北京有机数信息科技有限公司,云计算/大数据,50-99人,Unknown
AIGC设计师,北京-海淀区,15-20k,1年以下,本科,"创意设计,Illustrator",某知名公司,IT服务,50-99人,Unknown
AIGC产品运营,北京,30-55k·15薪,经验不限,本科,Unknown,某北京知名互联网公司,互联网,100-499人,B轮
AIGC产品经理（腾讯视频）,北京-海淀区,40-70k·16薪,5-10年,本科,"动漫,直播/视频产品,社区/社交产品,IT互联网",腾讯,互联网,10000人以上,港股上市
AIGC设计师,北京,9-13k,经验不限,本科,"AIGC,美学,设计,AI工具",某北京大型云计算/大数据公司,云计算/大数据,10000人以上,D轮及以上
AIGC产品总监,北京,50-80k·14薪,10年以上,硕士,"平台产品,AI人工智能产品,人工智能,to G,产品设计,产品规划",某北京互联网上市公司,生活服务,10000人以上,已上市
AIGC应用算法工程师,北京,40-65k,3-5年,本科,"自然语言处理,深度学习,语言模型,TensorFlow,PyTorch",某北京生活服务O2O上市公司,生活服务O2O,10000人以上,已上市
AIGC人工智能大模型,北京,150-200k·15薪,10年以上,硕士,"数据建模,数据治理,人工智能,AIGC,大模型,百亿个参数,人工智能领域,大数据领域,金融领域,银行领域",某大型互联网/电商公司,科技金融,10000人以上,融资未公开
AIGC产品运营,北京,25-40k·16薪,2-8年,本科,Unknown,某北京互联网公司,互联网,50-99人,B轮
智能创作平台AIGC产品经理(J72535),北京-海淀区,20-40k·16薪,3-5年,本科,"内容产品,平台产品,客户端产品,数据产品,策略产品,产品规划,用户研究,产品优化,需求分析,数据分析",Baidu,互联网,10000人以上,美股上市
AIGC技术美术,北京,20-30k·14薪,5-10年,本科,成像算法,某上海知名公司,计算机软件,100-499人,融资未公开
AIGC算法专家,北京,45-70k·16薪,5-10年,本科,"GAN,优化算法,算法优化,算法研究",某知名公司,云计算/大数据,10000人以上,D轮及以上
AIGC算法工程师,北京,35-40k,1-3年,本科,算法研究,某北京大型生活服务O2O公司,生活服务O2O,10000人以上,已上市
AIGC产品经理,北京,30-60k·16薪,3-5年,本科,"策略产品,用户研究,产品规划,数据分析",某北京互联网公司,互联网,50-99人,Unknown
多模态AIGC算法工程师/专家,北京,50-80k·16薪,经验不限,硕士,Unknown,某北京知名上市公司,在线社交/媒体,10000人以上,已上市
AIGC算法专家,北京,55-75k·18薪,3-5年,学历不限,"Diffiusion,GAN,图像生成算法,AIGC,计算机视觉",某知名互联网公司,互联网,10000人以上,已上市
AIGC视觉设计师（30）,北京,12-14k,1-3年,本科,"创意设计,Illustrator",某知名公司,建筑/工程设计,5000-10000人,Unknown
AIGC算法研发工程师,北京-海淀区,25-50k·16薪,3-5年,硕士,"C++,Python",Baidu,互联网,10000人以上,美股上市
海外投放经理（aigc）,北京,25-45k·14薪,5-10年,学历不限,"海外投放,海外市场,海外广告,海外广告投放,海外媒介,英语,IT/互联网/软件,to C,应用商店,社交媒体",某知名公司,在线社交/媒体,500-999人,B轮
AIGC产品经理-用户增长,北京,40-70k·16薪,5-10年,学历不限,"社区/社交产品,AI人工智能产品,to C,裂变,用户留存",某上海互联网公司,互联网,100-499人,Unknown
AIGC算法工程师,北京,60-90k·16薪,3-5年,本科,"算法优化,优化算法",某知名计算机软件公司,计算机软件,100-499人,融资未公开
AIGC专家,北京,20-30k,5-10年,统招本科,语言模型,某重庆大型专业技术服务公司,专业技术服务,5000-10000人,Unknown
AIGC(应用开发工程师,北京,35-60k,3-5年,本科,Unknown,某北京在线社交/媒体上市公司,在线社交/媒体,10000人以上,已上市
AIGC算法,北京,50-80k·14薪,5-10年,学历不限,Unknown,某上海专业服务公司,电子商务,1-49人,Unknown
AIGC算法工程师,北京,50-80k·16薪,3-5年,硕士,算法研究,某知名公司,房地产租赁/中介,10000人以上,已上市
AIGC算法专家,北京-海淀区,60-90k·15薪,5-10年,统招本科,"多模态,GAN,计算机视觉",某大型知名互联网公司,互联网,1000-2000人,D轮及以上
AIGC图像算法,北京,50-55k,5-10年,本科,Unknown,某上海专业服务公司,电子商务,1-49人,Unknown
AIGC应用算法工程师,北京,55-85k·16薪,3-5年,学历不限,"自然语言处理,语言模型,深度学习,TensorFlow,PyTorch",某知名公司,房地产租赁/中介,10000人以上,已上市
AIGC算法工程师/专家,北京,45-75k·15薪,3-10年,学历不限,"算法开发,算法研究,Python,Java,自然语言生成,机器翻译,GPT,PyTorch,TensorFlow,问答系统",某北京大型互联网公司,互联网,5000-10000人,战略融资
AIGC算法工程师/专家-多模态理解和生成方向,北京,40-70k·16薪,经验不限,硕士,"问答系统,语言模型,TensorFlow,PyTorch",某大型计算机软件公司,计算机软件,2000-5000人,融资未公开
AIGC算法（上海北京杭州）,北京-西城区,50-80k·16薪,5-10年,本科,"自然语言处理,强化学习",某AI知名企业,人工智能,5000-10000人,融资未公开
AIGC平台内容运营(J58066),北京-海淀区,30-55k·16薪,经验不限,本科,Unknown,Baidu,互联网,10000人以上,美股上市
AIGC视频制作,北京-通州区,9-14k·13薪,1-3年,本科,"VJ,MJ,SD,C4D,AI,舞台视觉",北京像素世界文化传播有限公司,专业技术服务,1-49人,Unknown
AIGC业务HRBP,北京,30-50k,5-10年,本科,人力资源经验,某上海计算机软件公司,计算机软件,100-499人,融资未公开
AIGC课程高级制作人,北京-朝阳区,20-40k,3-5年,统招本科,"语言类,线上教育,AIGC课程,设计课程,AI工具,成人教育",某北京计算机软件上市公司,计算机软件,1000-2000人,已上市
百度AIGC方向招聘专家-（暂用外包编制）,北京,10-15k·13薪,3-5年,统招本科,"岗位配置招聘,人力资源经验",Baidu,互联网,10000人以上,美股上市
一线投资机构投资的优质AIGC公司-财务经理,北京-海淀区,25-35k,3-5年,本科,"制度制定,预算管理,财务分析,税务筹划,报表编制,资金管理,预算分析,财务管理,决策分析",Michael Page,人力资源服务,5000-10000人,Unknown
AIGC算法leader（生成方向）,北京-海淀区,150-180k·15薪,经验不限,硕士,PyTorch,某北京在线社交/媒体上市公司,在线社交/媒体,10000人以上,已上市
AIGC高级算法工程师,北京-朝阳区,40-60k·16薪,5-10年,统招本科,"跟踪算法,深度学习,深度学习框架",某杭州互联网上市公司,互联网,10000人以上,已上市
AIGC算法工程师/专家-多模态理解和生成方向,北京,25-50k·16薪,3-5年,硕士,"AIGC,多模态理解和生成,NLP",某北京大型计算机软件公司,计算机软件,2000-5000人,融资未公开
算法工程师AIGC方向,北京-朝阳区,40-70k·14薪,经验不限,本科,"算法开发,Python,C++,自然语言处理,深度学习,强化学习,大数据算法",某北京人工智能公司,人工智能,1-49人,战略融资
AIGC算法,北京,30-60k·14薪,5-10年,本科,"MXNet,Caffe,TensorFlow,PyTorch",某北京世界500强上市公司,通信设备,10000人以上,已上市
AIGC算法,北京,50-55k·16薪,3-5年,硕士,算法研究,某计算机软件公司,互联网,10000人以上,D轮及以上
AIGC算法,北京-朝阳区,30-50k,5-10年,本科,Unknown,北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
计算机视觉- AIGC,北京,35-50k·14薪,3-5年,硕士,"GAN,Q-learning,语言模型,PyTorch",某北京知名公司,在线社交/媒体,100-499人,融资未公开
AIGC算法工程师,北京-朝阳区,20-35k·14薪,3-5年,统招本科,语言模型,新华三集团,计算机硬件,10000人以上,Unknown
AIGC算法工程师/专家,北京,55-85k·16薪,3-5年,硕士,"问答系统,语言模型,TensorFlow,PyTorch",某知名公司,计算机软件,2000-5000人,融资未公开
Python AIGC 算法工程师,北京-朝阳区,18-25k·14薪,3-5年,硕士,"AIGC,算法/AI编程",新华三集团,计算机硬件,10000人以上,Unknown
AIGC产品经理,北京-海淀区,30-40k·16薪,5-10年,统招本科,"对话产品,AI人工智能产品,人工智能,IT互联网,用户研究,产品设计,数据分析,产品规划,团队管理",Baidu,互联网,10000人以上,美股上市
AIGC企业CTO 技术负责人,北京-海淀区,60-90k,经验不限,统招本科,Unknown,红杉中国,基金/证券/期货,100-499人,Unknown
AIGC视频制作,北京-朝阳区,12-25k,3-5年,本科,"AIGC,图生视频,文生图,后期制作",中视广信,IT服务,500-999人,其他
AIGC产品视觉&交互设计负责人,北京-海淀区,20-40k·14薪,3-5年,本科,"UI设计,移动端,PC端,原型设计,交互设计,GUI设计,动效设计,视觉设计,UE/UX设计,用户研究",北京心影随形科技有限公司,计算机软件,1-49人,战略投资
智能信息-图像/AIGC算法专家-北京,北京-朝阳区,25-50k·16薪,3-5年,本科,"算法设计,Python",优视科技(中国)有限公司,计算机软件,10000人以上,融资未公开
大语言模型AIGC副总裁运营总监,北京-顺义区,40-70k,5-10年,本科,人工智能,东方魂集团有限公司,互联网,100-499人,Unknown
AIGC产品经理-百科,北京-海淀区,25-50k·15薪,3-5年,统招本科,"AI人工智能产品,策略产品,团队管理,产品规划,市场调研",字节跳动,互联网,10000人以上,其他
平台产品组_商业平台AIGC产品经理,北京-海淀区,30-60k·16薪,经验不限,本科,"商业化/广告,广告平台,广告策略",Baidu,互联网,10000人以上,美股上市
AIGC算法专家,北京-朝阳区,30-60k·16薪,3-5年,统招本科,Unknown,美团,生活服务,10000人以上,港股上市
产品运营主管（AIGC平台）,北京-海淀区,12-15k,1-3年,统招本科,"产品运营,内容运营,云计算/大数据,to B,线上运营,AI产品,广告产品,工具产品",脉讯在线,互联网,50-99人,A轮
AIGC投资ED,北京-朝阳区,70-100k,10年以上,硕士,Unknown,母基金周刊,在线社交/媒体,1-49人,A轮
AiGC销售经理,北京-海淀区,15-20k,3-5年,本科,"人工智能,自动驾驶软件,分子生物学技术",西云算力,互联网,50-99人,Unknown
图像 AIGC 算法工程师,北京-朝阳区,40-60k·15薪,3-5年,硕士,"算法研究,算法识别,图像识别",北京数美万物科技有限公司,科技推广服务,50-99人,天使轮
图像/AIGC算法专家,北京-朝阳区,25-50k·16薪,3-5年,本科,深度学习,杭州阿里巴巴网络科技有限公司,计算机软件,10000人以上,融资未公开
AIGC算法工程师,北京-朝阳区,25-50k,5-10年,硕士,"深度学习,深度学习框架",创客贴,互联网,100-499人,B轮
平台产品组_商业平台AIGC产品经理,北京-海淀区,30-60k·16薪,3-5年,统招本科,"广告产品,客户端产品,商业产品,策略产品,AI人工智能产品,广告行业,产品设计,数据分析,团队管理,用户研究",Baidu,互联网,10000人以上,美股上市
AIGC Java研发工程师,北京-海淀区,20-40k,1-3年,硕士,系统开发,Baidu,互联网,10000人以上,美股上市
AIGC应用算法工程师,北京-海淀区,35-55k,3-5年,硕士,"NLP,大模型,AIGC",贝壳找房(北京)科技有限公司,生活服务O2O,10000人以上,已上市
AIGC算法专家,北京-海淀区,50-80k·14薪,3-5年,硕士,Unknown,北京深度图灵科技有限公司,互联网,1-49人,Unknown
AIGC算法,北京-朝阳区,30-50k,3-5年,本科,"深度学习,Python",北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
后端工程师（AIGC),北京-海淀区,25-35k·15薪,10年以上,本科,"架构设计,Python",彩云科技AI,互联网,1-49人,B轮
AIGC算法,北京-朝阳区,18-35k·15薪,1-3年,统招本科,"深度学习,Python",北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
【算法平台】AIGC算法工程师(A174128),北京-西城区,30-60k·16薪,3-5年,硕士,语言模型,上海识装信息科技有限公司,互联网,5000-10000人,其他
高级前端研发工程师（非实习，AIGC方向优先）,北京-通州区,30-35k·16薪,5-10年,本科,"Vue,React,Webpack,电商领域,人工智能领域,HTML5,CSS,界面开发,架构设计",京东商城,互联网,10000人以上,已上市
AIGC视觉设计师,北京,9-13k,1-3年,统招本科,AIGC,某北京大型互联网公司,互联网,10000人以上,融资未公开
招聘经理- AIGC 25-50K·15薪,北京,25-50k,5-10年,学历不限,"岗位配置招聘,人力资源经验",某上海计算机软件公司,计算机软件,50-99人,B轮
AIGC大客户销售,北京-海淀区,20-25k,3-5年,大专,"渠道销售,to B,大客户销售,行业资源,AIGC,AI产品销售",某北京互联网公司,互联网,50-99人,天使轮
AIGC平台运营负责人,北京,70-100k·15薪,10年以上,统招本科,平台运营,某知名公司,咨询服务,50-99人,Unknown
AIGC业务HRBP,北京-朝阳区,45-75k·16薪,5-10年,本科,"战略管理,岗位配置招聘,人才发展,企业文化,人力资源经验",小红书,互联网,1000-2000人,D轮
AIGC专家,北京-东城区,20-30k,1-3年,本科,"TensorFlow,PyTorch,自然语言处理,Python,大数据算法,图像处理",某知名公司,人力资源服务,5000-10000人,Unknown
AIGC产品经理,北京,30-50k·16薪,3-5年,学历不限,"海外产品,画像产品,AI人工智能产品,直播/视频产品,语音产品,社区/社交产品,to C,移动端产品",某知名公司,在线社交/媒体,500-999人,B轮
猎头顾问（科技/AIGC/互联网）,北京,10-15k·13薪,1-3年,本科,"技术团队,非技术,AIGC",某知名猎企（专注科技和金融）,专业服务,100-499人,融资未公开
AIGC/医药猎头顾问/TL,北京-通州区,10-15k,经验不限,大专,"医药行业猎头,AI行业猎头,房地产行业猎头,猎头顾问",锐捷伯乐,专业服务,50-99人,融资未公开
创新业务部_广告行业AIGC解决方案售前(J69161),北京-海淀区,20-35k·16薪,5-10年,统招本科,"AIGC,广告业,大模型,售前解决方案",Baidu,互联网,10000人以上,美股上市
AIGC文生视频工程师,北京,40-70k·16薪,3-5年,硕士,算法研究,某知名公司,在线社交/媒体,10000人以上,战略融资
创新业务部_零售行业AIGC售前解决方案(J69162),北京-海淀区,20-35k·16薪,5-10年,统招本科,"AIGC,零售行业,大模型,云计算/大数据,解决方案",Baidu,互联网,10000人以上,美股上市
教育BG-高级市场经理（AIGC）-北京,北京-海淀区,20-35k·14薪,5-10年,统招本科,"AIGC,AI,教育信息化",科大讯飞,计算机软件,10000人以上,已上市
aigc视频应用工程师,北京-朝阳区,11-21k,1-3年,大专,Unknown,迪思传媒,广告/公关/会展,500-999人,Unknown
AIGC工程师,北京,20-28k,3-5年,本科,语言模型,某科技企业,人力资源,5000-10000人,融资未公开
AIGC算法（总监&专家）,北京,30-55k·16薪,3年以上,硕士,"文本分类,深度学习",某知名公司,房地产开发经营,10000人以上,D轮及以上
